Number of policies,Time,SPS
1,24.3509042263031,123198.710492216
1,23.8886811733246,125582.487297372
1,23.9175381660461,125430.969490784
1,23.9204776287079,125415.555933531
1,23.9051370620728,125496.038454417
1,23.9219737052917,125407.712463808
1,23.7769303321838,126172.72112453
1,23.9140977859497,125449.014504013
1,23.8611149787903,125727.569841839
1,23.6292355060577,126961.365264268
5,60.2125878334045,249117.344723695
5,61.0103323459625,245859.994909414
5,60.2791266441345,248842.357795832
5,61.1697359085083,245219.30293169
5,60.4329144954681,248209.111296872
5,60.8027589321137,246699.331797551
5,59.7522070407868,251036.752328848
5,61.3511810302734,244494.070824787
5,60.2098276615143,249128.764897427
5,60.9933865070343,245928.302378653
10,96.2325439453125,311744.850235369
10,98.600243806839,304258.882551761
10,98.7029845714569,303942.176928614
10,98.9577798843384,303159.590231955
10,98.1974945068359,305506.776427087
10,99.1582000255585,302546.839215187
10,98.0424628257751,305989.865363858
10,98.5067100524902,304547.781405086
10,100.010224342346,299969.330108756
10,99.2819066047668,302169.861820115
15,131.950460195541,341037.082654453
15,133.584463834763,336865.520946079
15,135.121108531952,333034.567943608
15,134.231626749039,335241.411356301
15,133.46451830864,337168.264421684
15,133.46451830864,337168.264421684
15,133.344275951386,337472.303771075
15,134.219535112381,335271.61275236
15,133.981326580048,335867.699989629
15,132.880254745483,338650.765579824
20,167.311913251877,358611.642374049
20,172.296160936356,348237.590866365
20,168.298227548599,356509.993444072
20,169.541033267975,353896.628111052
20,169.206522464752,354596.259801384
20,169.822755813599,353309.54154258
20,173.232261419296,346355.808718414
20,171.788873910904,349265.925284068
20,169.52486205101,353930.386812207
20,168.759505033493,355535.529617085
25,203.141361474991,369201.030530818
25,205.256012201309,365397.335725504
25,202.884317874908,369668.788527275
25,203.718919992447,368154.317737305
25,204.455878734589,366827.309951602
25,203.285086393356,368940.001111912
25,202.695853471756,370012.50255201
25,203.054842710495,369358.341809809
25,204.441735744476,366852.686546056
25,203.399128198624,368733.143864613
30,237.812441825867,378449.501249815
30,237.229826688766,379378.939217771
30,236.880915880203,379937.74072334
30,242.112987279892,371727.270854564
30,235.345525979996,382416.447583754
30,236.127887964249,381149.388053759
30,236.158721208572,381099.624605915
30,232.59632229805,386936.470494463
30,234.932954072952,383088.019112265
30,235.624603033066,381963.508230802
